size, time[us]
size, time[us]
8,    21230
8,    21332
8,    20605
8,    20855
8,    21217
8,    21176
8,    21105
8,    21909
8,    22022
8,    23089
8,    21632
8,    21682
8,    20798
8,    20683
8,    20890
8,    20431
8,    20769
8,    20820
8,    21022
8,    20970
8,    20978
8,    21475
8,    20803
8,    21105
8,    20660
8,    20505
8,    21044
8,    20791
8,    20515
8,    20666
8,    20530
8,    20842
8,    20915
8,    21109
8,    20980
8,    20701
8,    21648
8,    21762
8,    21609
8,    21688
8,    21595
8,    20476
8,    20956
8,    21588
8,    21872
8,    20689
8,    20846
8,    20640
8,    20606
8,    20889
8,    20506
8,    20668
8,    21155
8,    20604
9,    202756
9,    202002
9,    199608
9,    199251
9,    204297
9,    197103
9,    202456
9,    203658
9,    205003
9,    202840
9,    200099
9,    199655
9,    197993
size, time[us]
5,    66
5,    57
5,    54
5,    65
5,    56
5,    63
5,    56
5,    67
5,    51
5,    56
5,    48
5,    62
5,    49
5,    53
5,    63
5,    67
5,    53
5,    57
5,    62
5,    75
5,    52
5,    54
5,    69
5,    66
5,    77
5,    52
5,    91
5,    58
5,    51
5,    69
5,    89
5,    68
5,    50
5,    48
5,    93
5,    89
5,    93
5,    89
5,    73
5,    59
5,    52
5,    50
5,    61
5,    50
5,    50
5,    62
5,    72
5,    48
5,    48
5,    47
5,    47
5,    46
5,    58
5,    62
5,    76
5,    54
5,    52
5,    50
5,    52
5,    57
5,    57
5,    64
5,    71
5,    60
5,    52
5,    51
5,    59
5,    47
5,    46
5,    57
5,    56
5,    81
5,    51
5,    48
5,    56
5,    55
5,    58
5,    79
5,    62
5,    50
5,    73
5,    53
5,    52
5,    48
5,    51
5,    48
5,    69
5,    49
5,    47
5,    47
5,    52
5,    54
5,    50
5,    82
5,    68
5,    47
5,    46
5,    51
5,    47
5,    46
6,    350
6,    348
6,    367
6,    356
6,    360
6,    365
6,    364
6,    352
6,    357
6,    340
6,    371
6,    351
6,    359
6,    354
6,    551
6,    350
6,    420
6,    392
6,    374
6,    373
6,    375
6,    393
6,    357
6,    360
6,    362
6,    353
6,    356
6,    350
6,    576
6,    400
6,    379
6,    367
6,    354
6,    355
6,    357
6,    358
6,    344
6,    342
6,    345
6,    341
6,    342
6,    345
6,    352
6,    392
6,    361
6,    352
6,    348
6,    339
6,    354
6,    344
6,    352
6,    350
6,    353
6,    345
6,    354
6,    361
6,    415
6,    413
6,    399
6,    377
6,    382
6,    372
6,    341
6,    342
6,    353
6,    356
6,    347
6,    345
6,    350
6,    353
6,    346
6,    345
6,    349
6,    340
6,    343
6,    351
6,    350
6,    341
6,    346
6,    355
6,    369
6,    353
6,    354
6,    377
6,    359
6,    356
6,    350
6,    355
6,    359
6,    341
6,    345
6,    341
6,    345
6,    347
6,    349
6,    343
6,    347
6,    347
6,    347
6,    349
7,    2870
7,    2943
7,    2880
7,    2798
7,    2802
7,    2727
7,    2714
7,    2668
7,    2742
7,    2697
7,    2708
7,    2875
7,    2746
7,    2828
7,    2799
7,    2808
7,    2733
7,    2689
7,    2684
7,    2707
7,    2679
7,    2679
7,    2748
7,    2823
7,    2713
7,    2725
7,    2755
7,    2718
7,    2694
7,    2773
7,    2691
7,    2700
7,    2728
7,    4473
7,    2799
7,    2702
7,    2823
7,    2758
7,    2763
7,    2750
7,    2834
7,    2710
7,    2617
7,    2585
7,    2999
7,    2727
7,    2754
7,    2871
7,    2718
7,    2790
7,    2671
7,    2743
7,    2674
7,    2746
7,    2720
7,    2671
7,    2610
7,    2630
7,    2620
7,    2615
7,    2618
7,    2651
7,    2741
7,    2606
7,    2633
7,    2623
7,    2608
7,    2601
7,    2606
7,    2671
7,    2617
7,    2607
7,    2616
7,    2628
7,    2600
7,    2585
7,    2659
7,    2670
7,    2619
7,    2617
7,    2598
7,    2849
7,    2626
7,    2619
7,    2649
7,    2633
7,    2595
7,    2677
7,    2586
7,    2629
7,    2606
7,    2744
7,    2748
7,    2661
7,    2644
7,    2620
7,    2611
7,    2590
7,    2582
7,    2559
8,    22877
8,    22098
8,    21904
8,    22749
8,    23632
8,    23097
8,    21673
8,    21477
8,    21505
8,    21890
8,    21671
8,    21625
8,    21399
8,    21442
8,    21795
8,    23269
8,    26866
8,    23041
8,    23588
8,    22790
8,    21755
8,    21479
8,    21815
8,    22303
8,    23314
8,    22775
8,    21979
8,    21738
8,    21701
8,    21999
8,    21946
8,    21445
8,    21783
8,    21845
8,    22021
8,    22126
8,    21896
8,    21818
8,    21506
8,    21886
8,    21618
8,    21895
8,    21558
8,    21886
8,    22992
8,    22007
8,    21973
8,    21887
8,    21547
8,    21547
8,    22045
8,    21678
8,    21388
8,    21257
8,    21078
8,    21345
8,    20927
8,    21331
8,    21512
8,    21713
8,    23404
8,    20990
8,    20996
8,    20807
8,    20889
8,    21627
8,    21089
8,    21862
8,    21749
8,    21490
8,    21629
8,    21970
8,    22098
8,    22116
8,    22166
8,    22179
8,    22761
8,    22698
8,    22259
8,    21923
8,    21853
8,    21926
8,    21797
8,    21694
8,    21795
8,    22164
8,    22419
8,    22741
8,    22179
8,    22094
8,    21589
8,    21597
8,    21248
8,    21126
8,    21004
8,    21402
8,    22698
8,    22389
8,    21913
8,    22148
9,    206860
9,    205038
9,    203832
9,    204748
9,    211176
9,    206802
9,    204777
9,    206177
9,    207688
9,    203970
9,    202718
9,    202269
9,    202591
9,    201687
9,    206936
9,    203688
9,    204276
9,    209620
9,    204342
9,    208489
9,    202859
9,    205886
9,    199694
9,    198254
9,    196976
9,    198221
9,    201062
9,    204378
9,    207402
9,    200030
9,    208736
size, time[us]
5,    65
5,    61
5,    57
5,    65
5,    55
5,    55
5,    75
5,    68
5,    51
5,    56
5,    53
5,    62
5,    53
5,    55
5,    55
5,    66
5,    52
5,    61
5,    57
5,    55
5,    51
5,    48
5,    81
5,    63
5,    48
5,    51
5,    56
5,    78
5,    60
5,    56
5,    76
5,    62
5,    49
5,    47
5,    55
5,    71
5,    52
5,    86
5,    112
5,    112
5,    93
5,    77
5,    51
5,    60
5,    52
5,    49
5,    124
5,    51
5,    47
5,    46
5,    46
5,    46
5,    49
5,    52
5,    69
5,    50
5,    48
5,    47
5,    47
5,    45
5,    49
5,    76
5,    68
5,    47
5,    47
5,    46
5,    56
5,    64
5,    53
5,    51
5,    48
5,    46
5,    50
5,    56
5,    46
5,    47
5,    57
5,    67
5,    55
5,    49
5,    53
5,    54
5,    51
5,    48
5,    55
5,    51
5,    49
5,    48
5,    48
5,    48
5,    54
5,    51
5,    50
5,    92
5,    68
5,    51
5,    48
5,    56
5,    58
5,    63
